comment_id,score,keyword
4126282528433807,2.48,好迷
4126191634549877,3.56,尴尬
4126187502955391,1.47,田螺
4126185917151644,2.5,袁卷卷
4126462837485541,1.19,大海
4126190921192118,1.93,笑
4126187746089073,0.0,允
4126186277508704,0.0,允
4126316439334110,2.89,珍妮
4126217084766520,3.56,有点
4126208377477103,1.45,买不到
4126209518821893,2.58,板蓝根
4126193550782873,3.99,看见
4126228250480841,2.64,前
4126184293997973,1.78,是是是
4126186227364129,1.27,尴尬
4126189473428019,-1.32,黑
4126189088451217,3.72,微笑
4126195359117780,1.52,厉害
4126205068459146,3.21,送
4126212118286807,0.03,钻石
4126196578877649,1.26,尴尬
4126195404062511,1.25,
4126186994663516,1.57,
4126215272690059,3.83,黑黑
4126276161328770,3.78,摄影
4126221598345441,1.77,
4126184968948812,0.0,骨气
4126184667067922,1.46,这是啥
4126200064642802,0.06,为了什么
4126192846065782,1.2,台湾人
4126205755675781,0.32,故意
4126245484196887,3.09,笑
4126292566326607,0.25,视频
4126190031869067,1.52,吃
4126184389907585,1.04,脑子
4126397457133777,1.11,最后
4126192954899173,2.54,电脑
4126188554687118,2.31,蘑菇
4126187389376950,3.33,品德
4126185308397081,1.8,乡民
4126210227457477,1.85,口
4126192229416940,-2.34,悲伤
4126202236860162,3.38,尽早
4126550796477774,2.44,台湾人
4126302040945921,0.45,台湾人
4126225646105658,3.6,看得
4126226055999041,1.08,斯基
4126387524695338,2.33,恩
4126186571516255,-1.82,眼泪
4126240795276166,1.54,
4126400733204843,3.59,笑
4126288929446117,0.0,小孩子
4126293366857171,2.53,台湾人
4126294830426317,3.15,威为维
4126186835316998,1.77,東西
4126200677157564,0.83,
4126189276792254,1.45,
4126205382681380,1.86,台湾人
4126204916893028,3.56,看得
4126255936852097,1.09,弹幕
4126185534942027,1.99,认识
4126223460150945,2.25,厉害
4126223506061408,1.25,台湾人
4126206327236550,0.44,丽丽
4126206775844553,1.43,韩露
4126188806397923,1.61,有钱
4126271941936373,1.15,苹果
4126188416510068,2.96,记得
4126257593727850,-0.17,黑
4188154061950277,3.76,没
4126221455367461,0.65,
4126200949929314,2.85,发售
4126212789856159,0.0,厌倦
4126212160515989,1.92,
4126201193047531,1.85,帅
4126204560298732,0.38,好看
4126278926082424,1.05,好看
4126236827493729,1.17,
4125404912162846,0.0,链接
4127276196809270,0.0,图
4125382716389619,0.0,图
4125369810959398,1.8,一价
4136049187989101,2.69,博文
4125854818620820,3.76,服帖
4126987050797153,1.66,地狱
4127609253626089,2.53,抽
4135603676947354,0.23,洗脸
4126891864750361,0.37,可爱
4135617212055672,3.4,洗脸
4126172952246757,2.18,发现
4125916185569480,3.66,不会
4135605811968952,1.84,
4136086135241653,3.34,遮瑕
4127354487949066,0.79,转发
4135719896716702,3.13,买
4127634864809261,2.76,黑头
4137425418478598,2.47,皮肤
4125191719978572,3.94,底妆
4126812021465763,1.46,班主任
4150467413614993,1.1,狗头
4141153756706311,1.59,
4135707137558690,-3.38,骂
4126197589989690,1.65,遮瑕
4134889169126674,3.46,模特
4133887116647702,0.98,哇
4135597587342126,1.6,二哈
4126592806180004,1.28,买
4138771085299667,3.44,不会
4131959498471891,3.65,情况
4127627142803564,0.7,空调
4128395908144858,3.14,闭口
4127150414183383,1.66,转发
4125826217823381,3.62,遮瑕
4127711641188221,2.5,允
4135714193577450,0.48,挖
4150468277738540,3.61,阿豆
4125932471580145,1.18,
4135652654005831,1.18,想买
4143599971008287,2.61,求问
4125948649795424,1.98,
4127238208828440,2.3,打圈
4134872873700081,2.67,效果
4133557477345903,1.78,真实
4126656798776019,1.05,靚靚
4125925925068409,1.39,色
4134903962506625,4.72,私信
4126492470102068,1.92,在
4133902295539567,1.36,配图
4140297103382103,0.49,哇我看了好久
4131958675736325,3.97,马儿
4179206197472658,3.33,很酷
4125897277653772,1.77,
4126508962036064,3.09,好转
4134879001908055,0.51,检查
4135636723726240,0.88,圆
4134890608371387,1.15,菲菲
4128438619327389,1.19,子
4127626919960268,1.55,粉霜
4135262998497391,3.43,中药
4127484314430729,-0.69,费解
4167851571118409,1.8,深海
4134077201930312,3.66,神仙
4128257806596578,1.99,
4137771393926054,3.8,不得不
4135594663660968,0.12,
4126639975487514,1.6,初识
4135594122368869,1.85,
4135639102831569,1.16,帅
4128460357766242,3.44,时间
4129183829223392,3.95,转发
4127627059381921,2.75,安利
4132070692777435,1.2,化妆
4134879350310042,1.44,麻烦
4127024753254417,1.3,
4127264235205613,2.29,厚
4127945854864615,1.54,
4127587091388872,3.94,脸
4136323969189498,0.03,更
4135594239487025,2.83,皮肤
4128331538010487,2.81,毛孔
4135621138101098,0.87,
4129708575033484,0.53,烂
4135702658525031,2.19,只想
4148336347141773,3.13,晴
4128362475515677,2.73,黑眼圈
4126664307499527,1.85,妈呀
4128326844659544,3.73,恶心
4126819751734166,3.11,糟践
4135624669436746,3.91,审美
4134890729957671,3.5,划
4129163335763814,3.01,爱
4125820219883800,3.05,两把刷子
4137439150362418,3.22,爱
4125807586378213,3.28,过敏
4134601695560286,2.03,厉害
4282115640267225,0.74,哈哈
4127230756402123,1.67,
4135882418592422,2.84,状态
4135661214601021,3.56,烂
4126141226920864,1.67,
4125877493678663,2.99,贱
4135333328647102,0.04,
4134237664186729,2.81,啊啊啊
4126126936885242,1.18,好
4125813647337387,1.73,学学
4126873723742217,3.51,色
4135627178191909,2.96,皮肤
4135707826680357,3.07,爱
4125965103736700,4.32,补水
4134496440018243,2.58,腐
4150466448766205,2.19,认识
4135697214358639,3.73,堪称
4126185875155704,1.37,皮肤
4127611141432456,3.39,厉害
4126261519212918,1.59,不会
4135594080357580,3.66,瑕盘
4135713039632473,1.7,
4135722644492249,3.3,喜欢
4125957726463977,0.66,抱抱
4130313456760099,0.5,不起作用
4128139158762713,1.91,烂
4135620589252631,3.36,烂
4134885902065490,4.19,超级
4135932187816015,0.93,路子
4125952152250255,3.84,过分
4138938022500950,0.45,野澈
4126569230410032,3.18,谢谢
4125888909529178,1.38,邓
4135649231286544,3.44,太
4135705602712649,1.44,陈奕迅
4134878473140962,1.18,怎么好的
4125871784324399,3.47,小米
4135003220807596,1.92,天亮
4128062775496589,0.0,过敏
4127282488868882,1.46,好不好
4134924137638831,0.64,过敏
4125928210059422,-2.36,走开
4135576372613262,4.3,脸
4126506441365441,2.13,化妆
4126190816138422,1.96,重要性
4134014337854522,2.42,容易
4135983555539547,0.54,挖
4125206739565744,1.05,化
4147557414447533,1.05,皮肤
4128333669182208,2.28,黄色
4135590028894326,1.82,底妆
4125897504451586,0.17,喜欢
4140785089888235,3.6,穆如姜
4138226341744158,0.0,色
4125186435861203,3.09,烂
4134864393246702,3.81,用点
4135558814628950,0.35,鼻子
4125840465308654,3.05,转发
4126266241809820,1.89,鼻子
4135548698942698,1.26,
4126909178572445,3.81,涂
4125871411673749,1.75,需要
4135598438424727,-4.46,恶意
4126112303053732,0.66,嗯可以哦
4127745614896333,-2.8,狂热
4125886817665703,2.5,粉丝
4125856647538039,2.8,马骝
4128326492261914,2.5,身体
4128327457311452,3.85,黄色
4126416625410566,1.28,"噢耶,噢耶"
4126155579793392,1.23,蓝色
