word,value
驴唇不对马嘴,-3.888888888888889
私自,-1.6666666666666667
百孔千疮,-2.7777777777777777
疏忽,-1.6666666666666667
老调,-1.6666666666666667
放火,-2.7777777777777777
蠢动,-5.0
天翻地覆,-3.888888888888889
烦扰,-5.0
祸胎,-5.0
心虚,-0.5555555555555556
马大哈,-1.6666666666666667
虚度,-2.7777777777777777
幌子,-2.7777777777777777
丢脸,-2.7777777777777777
畜生,-5.0
赤裸裸,-1.6666666666666667
狂暴,-3.888888888888889
说嘴,-2.7777777777777777
侈谈,-2.7777777777777777
纷乱,-2.7777777777777777
拐子,-2.7777777777777777
软弱,-2.7777777777777777
莫须有,-3.888888888888889
沉痼,-2.7777777777777777
拘泥,-1.6666666666666667
空想,-3.888888888888889
见不得人,-5.0
半半拉拉,-2.7777777777777777
岔子,-2.7777777777777777
抬杠,-2.7777777777777777
抽风,-2.7777777777777777
惨绝人寰,-2.7777777777777777
瞎说,-3.888888888888889
急转直下,-2.7777777777777777
荒废,-2.7777777777777777
凌虐,-2.7777777777777777
背时,-2.7777777777777777
栽赃,-3.888888888888889
脏污,-2.7777777777777777
噪聒,-2.7777777777777777
责罚,-2.7777777777777777
贼赃,-3.888888888888889
肢解,-2.7777777777777777
滞销,-2.7777777777777777
周折,-2.7777777777777777
装糊涂,-2.7777777777777777
捉弄,-2.7777777777777777
滋事,-2.7777777777777777
走内线,-2.7777777777777777
嘴长,-2.7777777777777777
罪孽,-5.0
作死,-5.0
坐误,-3.888888888888889
爱搭不理,-2.7777777777777777
板板六十四,-2.7777777777777777
背地里,-2.7777777777777777
秉性剌戾,-5.0
唯命是从,-3.888888888888889
不到黄河心不死,-2.7777777777777777
不对茬儿,-2.7777777777777777
不敬,-3.888888888888889
手无缚鸡之力,-5.0
体力不支,-3.888888888888889
私下,-3.888888888888889
松散散,-3.888888888888889
太随便,-5.0
蜕化变质,-5.0
唯我独尊,-5.0
无价值,-2.7777777777777777
无吸引力,-2.7777777777777777
险象环生,-3.888888888888889
不名一文,-2.7777777777777777
不清不楚,-2.7777777777777777
不妥,-2.7777777777777777
不宜,-1.6666666666666667
惨无人道,-5.0
岌岌不可终日,-3.888888888888889
罪恶深重,-5.0
朝不虑夕,-2.7777777777777777
吃不开,-3.888888888888889
臭气冲天,-5.0
大错而特错,-5.0
呆钝,-2.7777777777777777
道德败坏,-5.0
低人一等,-3.888888888888889
刁恶,-3.888888888888889
短视,-3.888888888888889
繁复,-2.7777777777777777
废旧,-0.5555555555555556
腐朽没落,-5.0
疙里疙瘩,-2.7777777777777777
孤孤单单,-3.888888888888889
寡了叭叽,-3.888888888888889
怪里怪气,-3.888888888888889
含糊其词,-2.7777777777777777
毫无价值,-5.0
黑灯瞎火,-2.7777777777777777
黑黢黢,-2.7777777777777777
糊糊涂涂,-1.6666666666666667
荒诞无稽,-5.0
荒瘠,-3.888888888888889
灰头灰脸,-3.888888888888889
炙手可热,-3.888888888888889
婚外,-2.7777777777777777
不待见,-2.7777777777777777
猜疑,-2.7777777777777777
千里馈粮,-3.888888888888889
打骂,-2.7777777777777777
堵得慌,-3.888888888888889
发怔,-1.6666666666666667
烦厌,-3.888888888888889
骇然失色,-5.0
后悔莫及,-5.0
悔不该,-3.888888888888889
急眼,-2.7777777777777777
看扁,-2.7777777777777777
哭丧着脸,-2.7777777777777777
骂骂咧咧,-2.7777777777777777
柔肠百结,-2.7777777777777777
说风凉话,-2.7777777777777777
敬贺,-2.7777777777777777
小里小气,-2.7777777777777777
奸恶,-5.0
见识短浅,-2.7777777777777777
狡计多端,-3.888888888888889
剧毒,-3.888888888888889
狂傲,-3.888888888888889
狼籍,-3.888888888888889
老派,-2.7777777777777777
冷峻,-2.7777777777777777
离心离德,-3.888888888888889
哩溜歪斜,-2.7777777777777777
了不得,-3.888888888888889
令人困倦,-2.7777777777777777
令人生气,-2.7777777777777777
乱虐并生,-5.0
乱蓬蓬,-2.7777777777777777
卖不掉,-2.7777777777777777
猫哭老鼠,-5.0
没好气,-2.7777777777777777
没轻没重,-2.7777777777777777
没用,-2.7777777777777777
绵里藏针,-3.888888888888889
目光凶狠,-2.7777777777777777
难说话,-1.6666666666666667
一无所长,-5.0
